constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
213,Karakat,4,Md. Irshad Khan,Lohiya Janta Dal,992,3,995,0.5,
213,Karakat,5,Nirmal Sharma,Jagrook Janta Party,549,4,553,0.28,
213,Karakat,6,Yogendra Singh,Jan Suraaj Party,7403,100,7503,3.79,
213,Karakat,7,Amit Upadhayay,Independent,495,1,496,0.25,
213,Karakat,8,Amit Kumar Mishra,Independent,662,5,667,0.34,
213,Karakat,9,Ayodhya Ram,Independent,585,2,587,0.3,
213,Karakat,10,Arun Singh (Vill-Kurur),Independent,592,8,600,0.3,
213,Karakat,11,Jyoti Singh,Independent,23351,118,23469,11.87,
213,Karakat,12,Banshidhar Singh,Independent,3019,0,3019,1.53,
213,Karakat,13,Mantu Choudhary,Independent,1206,0,1206,0.61,
213,Karakat,14,Nota,None of the Above,5760,5,5765,2.92,
214,Arwal,1,Divya Bharti,Rashtriya Lok Janshakti Party,1700,24,1724,1.01,GDA
214,Arwal,2,Manoj Kumar,Bharatiya Janata Party,79400,454,79854,46.66,NDA
214,Arwal,3,Mahanand Singh,Communist Party of India (Marxist-Leninist) (Liberation),65247,514,65761,38.43,
214,Arwal,4,Shekhar Ram,Bahujan Samaj Party,3706,13,3719,2.17,
214,Arwal,5,Arun Kumar,Janshakti Janta Dal,794,10,804,0.47,
214,Arwal,6,Kunti Devi,Jan Suraaj Party,3311,65,3376,1.97,
214,Arwal,7,Pancham Kumar,Suheldev Bharatiya Samaj Party,3173,3,3176,1.86,
214,Arwal,8,Mansur Alam,Aam Janta Pragati Party,261,3,264,0.15,
214,Arwal,9,Vikash Kumar,Desh Janhit Party,343,0,343,0.2,
214,Arwal,10,Amitesh Kumar,Independent,1608,9,1617,0.94,
214,Arwal,11,Kajal Devi,Independent,433,3,436,0.25,
214,Arwal,12,Chandra Shekhar Yadav,Independent,563,3,566,0.33,
214,Arwal,13,Manoj Kumar Santosh,Independent,1434,5,1439,0.84,
214,Arwal,14,Veerendra Prasad,Independent,3879,0,3879,2.27,
214,Arwal,15,Satyendra Prasad Sharma,Independent,2722,4,2726,1.59,
214,Arwal,16,Nota,None of the Above,1442,9,1451,0.85,
215,Kurtha,1,Arun Kumar Alias Arun Kushwaha,Rashtriya Lok Samta Party,1420,8,1428,0.86,
215,Kurtha,2,Ashok Kumar,Bahujan Samaj Party,3321,17,3338,2.01,
215,Kurtha,3,Uma Shankar Sharan,Aam Aadmi Party,1441,3,1444,0.87,
215,Kurtha,4,Kumar Krishna Mohan Urf Suday Yadav,Rashtriya Janata Dal,68577,408,68985,41.59,MGB
215,Kurtha,5,Pappu Kumar Verma,Janata Dal (United),74089,377,74466,44.9,NDA
215,Kurtha,6,Rambali Singh,Jan Suraaj Party,4996,34,5030,3.03,
215,Kurtha,7,Rupesh Kumar,Socialist Unity Centre Of India (COMMUNIST),929,1,930,0.56,
215,Kurtha,8,Avinash Kumar,Independent,474,2,476,0.29,
215,Kurtha,9,Niraj Kumar,Independent,1200,1,1201,0.72,
215,Kurtha,10,Buddhadev Sav,Independent,2326,1,2327,1.4,
215,Kurtha,11,Raushan Kumar,Independent,1639,3,1642,0.99,
215,Kurtha,12,Vikash Kumar,Independent,1353,0,1353,0.82,
215,Kurtha,13,Vinod Kumar,Independent,1460,4,1464,0.88,
215,Kurtha,14,Nota,None of the Above,1778,5,1783,1.07,
216,Jehanabad,1,Chandeshwar Prasad,Janata Dal (United),85168,441,85609,44.23,NDA
216,Jehanabad,2,Pramod Yadav,Rashtriya Lok Janshakti Party,921,6,927,0.48,GDA
216,Jehanabad,3,Baleshwar Singh,Aam Aadmi Party,1172,3,1175,0.61,
216,Jehanabad,4,Rahul Kumar,Rashtriya Janata Dal,85706,696,86402,44.64,MGB
216,Jehanabad,5,Abhiram Singh,Jan Suraaj Party,5674,86,5760,2.98,
216,Jehanabad,6,Nitish Kumar,Bhagidari Party(P),899,6,905,0.47,
216,Jehanabad,7,Rambha Kumari,Samajwadi Lok Parishad,498,1,499,0.26,
216,Jehanabad,8,Raju Kumar,Socialist Unity Centre Of India (COMMUNIST),931,1,932,0.48,
216,Jehanabad,9,Siddhanath Kumar,Kisan Sangharsh Samiti,1151,0,1151,0.59,
216,Jehanabad,10,Bablu Kumar,Independent,1262,12,1274,0.66,
216,Jehanabad,11,Ritesh Kumar,Independent,4316,14,4330,2.24,
216,Jehanabad,12,Nota,None of the Above,4561,16,4577,2.36,
217,Ghosi,1,Anuradha Sinha,Bahujan Samaj Party,3688,27,3715,2.17,
217,Ghosi,2,Rambali Singh Yadav,Communist Party of India (Marxist-Leninist) (Liberation),68408,403,68811,40.1,
217,Ghosi,3,Rituraj Kumar,Janata Dal (United),80203,537,80740,47.05,NDA
217,Ghosi,4,Indu Kumari,Socialist Unity Centre Of India (COMMUNIST),1835,7,1842,1.07,
217,Ghosi,5,Prabhat Kumar,Jan Suraaj Party,3013,57,3070,1.79,
217,Ghosi,6,Rakesh Roushan,Aam Janta Party Rashtriya,830,6,836,0.49,
217,Ghosi,7,Vijay Sharma,Bhartiya Sarthak Party,565,2,567,0.33,
217,Ghosi,8,Saryu Prasad Singh,Kisan Sangharsh Samiti,440,1,441,0.26,
217,Ghosi,9,Rajesh Ranjan,Independent,1926,5,1931,1.13,
217,Ghosi,10,Wasif Husnain,Independent,3493,0,3493,2.04,
217,Ghosi,11,Satyendra Prasad Yadav,Independent,3071,2,3073,1.79,
217,Ghosi,12,Nota,None of the Above,3063,10,3073,1.79,
218,Makhdumpur,1,Chhotelal Paswan,Rashtriya Lok Janshakti Party,1723,10,1733,1.04,GDA
218,Makhdumpur,2,Rani Kumari,Lok Janshakti Party (Ram Vilas),72535,404,72939,43.83,NDA
218,Makhdumpur,3,Sudhir Choudhary,Bahujan Samaj Party,3503,14,3517,2.11,
218,Makhdumpur,4,Subedar Das,Rashtriya Janata Dal,74389,380,74769,44.93,MGB
218,Makhdumpur,5,Dinesh Paswan,Kisan Sangharsh Samiti,1143,2,1145,0.69,
218,Makhdumpur,6,Prem Kishor Paswan,Bhartiya Lok Chetna Party,790,2,792,0.48,
218,Makhdumpur,7,Shankar Swarup,Jan Suraaj Party,4740,63,4803,2.89,
218,Makhdumpur,8,Minta Devi,Independent,1180,4,1184,0.71,
218,Makhdumpur,9,Shailendra Chaudhari,Independent,2756,1,2757,1.66,
218,Makhdumpur,10,Nota,None of the Above,2756,4,2760,1.66,
219,Goh,1,Amrendra Kumar,Rashtriya Janata Dal,93243,381,93624,44.23,MGB
219,Goh,2,Dr. Ranvijay Kumar,Bharatiya Janata Party,89282,301,89583,42.32,NDA
219,Goh,3,Sanjay Prasad Alias Er. Sanjay Prasad Kushwaha,Bahujan Samaj Party,1938,8,1946,0.92,
219,Goh,4,Arun Kumar Amar,Socialist Party (India),486,1,487,0.23,
219,Goh,5,Md Eklakha,Aazad Samaj Party (Kanshi Ram),6613,18,6631,3.13,GDA
219,Goh,6,Sitaram Dukhari,Jan Suraaj Party,7949,47,7996,3.78,
219,Goh,7,Sonu Kumar,Jagrook Janta Party,1369,2,1371,0.65,
219,Goh,8,Amit Kumar,Independent,890,3,893,0.42,
219,Goh,9,Mundrika Prasad,Independent,452,0,452,0.21,
219,Goh,10,Rajeev Ranjan,Independent,922,0,922,0.44,
219,Goh,11,Shiv Shanker Singh,Independent,3114,1,3115,1.47,
219,Goh,12,Nota,None of the Above,4646,3,4649,2.2,
220,Obra,1,Rishi Kumar,Rashtriya Janata Dal,79025,600,79625,38.95,MGB
220,Obra,2,Prakash Chandra,Lok Janshakti Party (Ram Vilas),91177,461,91638,44.83,NDA
220,Obra,3,Pratima Kumari,Rashtriya Lok Janshakti Party,1089,7,1096,0.54,GDA
220,Obra,4,Sanjay Kumar,Bahujan Samaj Party,7873,23,7896,3.86,
220,Obra,5,Ajit Kumar,Aam Janta Party Rashtriya,369,4,373,0.18,
220,Obra,6,Uday Narayan Rajbhar,Suheldev Bharatiya Samaj Party,3968,0,3968,1.94,
220,Obra,7,Jaynand Ram,New India United Party,300,1,301,0.15,
220,Obra,8,Jitendra Dubey,Akhil Bharatiya Jan Sangh,484,1,485,0.24,
220,Obra,9,Dharmendra Kumar,Jagrook Janta Party,610,3,613,0.3,
220,Obra,10,Dr. Dharmendra Kumar,Akhil Hind Forward Bloc (Krantikari),369,2,371,0.18,
220,Obra,11,Sudhir Kumar Sharma,Jan Suraaj Party,3707,72,3779,1.85,
220,Obra,12,Som Prakash,Swaraj Party (Loktantrik),1674,12,1686,0.82,
220,Obra,13,Dhiraj Kumar,Independent,480,2,482,0.24,
220,Obra,14,Braj Kishor Singh,Independent,829,0,829,0.41,
220,Obra,15,Md Taufique Alam,Independent,4564,2,4566,2.23,
220,Obra,16,Ram Raj Yadav,Independent,2820,0,2820,1.38,
220,Obra,17,Shiv Nath Sav,Independent,1398,0,1398,0.68,
220,Obra,18,Harisant Kumar,Independent,1574,3,1577,0.77,
220,Obra,19,Nota,None of the Above,912,7,919,0.45,
221,Nabinagar,1,Amod Kumar Singh,Rashtriya Janata Dal,79977,291,80268,42.23,MGB
221,Nabinagar,2,Chetan Anand,Janata Dal (United),80115,265,80380,42.29,NDA
221,Nabinagar,3,Vinod Kumar,Bahujan Samaj Party,6578,17,6595,3.47,
221,Nabinagar,4,Ajay Bhuiyan,Swaraj Party (Loktantrik),707,2,709,0.37,
221,Nabinagar,5,Anil Ram,Socialist Unity Centre Of India (COMMUNIST),904,2,906,0.48,
221,Nabinagar,6,Archana Chandra,Jan Suraaj Party,4033,52,4085,2.15,
221,Nabinagar,7,Dharmendra Rajwar,Suheldev Bharatiya Samaj Party,2333,3,2336,1.23,
221,Nabinagar,8,Mritunjay Kumar,Independent,3652,18,3670,1.93,
221,Nabinagar,9,Lav Kumar Singh,Independent,7050,25,7075,3.72,
221,Nabinagar,10,Nota,None of the Above,4037,5,4042,2.13,
222,Kutumba,1,Prakash Kumar,Bahujan Samaj Party,2538,11,2549,1.47,
222,Kutumba,2,Rajesh Kumar,Indian National Congress,62922,280,63202,36.4,MGB
222,Kutumba,3,Angad Kumar,Gana Suraksha Party,1411,1,1412,0.81,
222,Kutumba,4,Ram Janam Ram,Aazad Samaj Party (Kanshi Ram),6014,8,6022,3.47,GDA
222,Kutumba,5,Rima Kumari,Rashtrawadi Janlok Party (Satya),1019,0,1019,0.59,
222,Kutumba,6,Lalan Ram,Hindustani Awam Morcha (Secular),84465,262,84727,48.79,NDA
222,Kutumba,7,Shyambali Ram,Jan Suraaj Party,6029,36,6065,3.49,
222,Kutumba,8,Narendra Kumar Ram,Independent,860,4,864,0.5,
222,Kutumba,9,Pushp Lata Devi,Independent,1424,3,1427,0.82,
222,Kutumba,10,Rakesh Ram,Independent,1165,0,1165,0.67,
222,Kutumba,11,Viramanu Kumar Bhushan,Independent,2575,3,2578,1.48,
222,Kutumba,12,Nota,None of the Above,2610,4,2614,1.51,
223,Aurangabad,1,Anand Shankar Singh,Indian National Congress,79761,645,80406,40,MGB
223,Aurangabad,2,Trivikram Narayan Singh,Bharatiya Janata Party,86837,363,87200,43.38,NDA
223,Aurangabad,3,Shakti Kumar Mishra,Bahujan Samaj Party,19682,94,19776,9.84,
223,Aurangabad,4,Nand Kishor Yadav,Jan Suraaj Party,2723,32,2755,1.37,
223,Aurangabad,5,Prayag Paswan,Socialist Unity Centre Of India (COMMUNIST),293,4,297,0.15,
223,Aurangabad,6,Vinay Kumar Singh,Akhil Hind Forward Bloc (Krantikari),302,0,302,0.15,
223,Aurangabad,7,Ajit Kumar,Independent,198,0,198,0.1,
223,Aurangabad,8,Ashish Kumar Soni,Independent,258,0,258,0.13,
223,Aurangabad,9,Dhirendra Kumar Singh,Independent,273,0,273,0.14,
223,Aurangabad,10,Neha Kumari,Independent,370,2,372,0.19,
223,Aurangabad,11,Binod Prasad Chaudhari,Independent,339,1,340,0.17,
223,Aurangabad,12,Ram Swarup Paswan,Independent,654,4,658,0.33,
223,Aurangabad,13,Rambahadur Singh,Independent,618,0,618,0.31,
223,Aurangabad,14,Loknath Singh,Independent,1335,0,1335,0.66,
223,Aurangabad,15,Surendra Prasad,Independent,2854,0,2854,1.42,
223,Aurangabad,16,Nota,None of the Above,3346,6,3352,1.67,
224,Rafiganj,1,Ghulam Shahid,Rashtriya Janata Dal,95198,361,95559,42.61,MGB
224,Rafiganj,2,Pramod Kumar Singh,Janata Dal (United),107120,395,107515,47.95,NDA
224,Rafiganj,3,Suman Kumari,Bahujan Samaj Party,4410,22,4432,1.98,
224,Rafiganj,4,Maheshwar Paswan,Akhil Hind Forward Bloc (Krantikari),430,4,434,0.19,
224,Rafiganj,5,Rajesh Kumar,Sampoorna Bharat Kranti Party,247,0,247,0.11,
224,Rafiganj,6,Rahul Kumar,Jagrook Janta Party,437,1,438,0.2,
224,Rafiganj,7,Vikash Kumar Singh,Jan Suraaj Party,3008,21,3029,1.35,
224,Rafiganj,8,Upendra Kumar,Independent,555,0,555,0.25,
224,Rafiganj,9,Nandlal Suman,Independent,1051,0,1051,0.47,
224,Rafiganj,10,Ritesh Kumar,Independent,773,1,774,0.35,
224,Rafiganj,11,Sat Narain,Independent,1031,1,1032,0.46,
224,Rafiganj,12,Suryadeep Singh,Independent,4214,1,4215,1.88,
224,Rafiganj,13,Nota,None of the Above,4954,4,4958,2.21,
225,Gurua,1,Upendra Prasad,Bharatiya Janata Party,99423,335,99758,49.02,NDA
225,Gurua,2,Nitish Kumar,Rashtriya Lok Janshakti Party,1143,5,1148,0.56,GDA
225,Gurua,3,Raghvendra Narayan Yadav,Bahujan Samaj Party,8211,31,8242,4.05,
225,Gurua,4,Vinay Kumar,Rashtriya Janata Dal,75235,329,75564,37.13,MGB
225,Gurua,5,Anil Singh,Yuva Samriddhi Dal,1170,1,1171,0.58,
225,Gurua,6,Gautam Kumar,Swaraj Party (Loktantrik),520,3,523,0.26,
225,Gurua,7,Dharmendra Narayan,Rashtriya Jantantrik Morcha,600,0,600,0.29,
225,Gurua,8,Sanjeeva Shyam Singh,Jan Suraaj Party,4348,52,4400,2.16,
225,Gurua,9,Samta Kumar,Akhil Hind Forward Bloc (Krantikari),575,0,575,0.28,
225,Gurua,10,Syed Imran Nabi,Aazad Samaj Party (Kanshi Ram),3509,5,3514,1.73,GDA
225,Gurua,11,Nagdev Paswan,Independent,1890,2,1892,0.93,
225,Gurua,12,Mahendra Kumar,Independent,1034,1,1035,0.51,
225,Gurua,13,Rajendra Kumar,Independent,1140,0,1140,0.56,
225,Gurua,14,Nota,None of the Above,3942,4,3946,1.94,
226,Sherghati,1,Uday Kumar Singh,Lok Janshakti Party (Ram Vilas),77118,152,77270,38.13,NDA
226,Sherghati,2,Pramod Kumar Verma,Rashtriya Janata Dal,63468,278,63746,31.46,MGB
226,Sherghati,3,Shailesh Kumar Mishra,Bahujan Samaj Party,2725,20,2745,1.35,
226,Sherghati,4,Karan Raj,Moulik Adhikar Party,1534,1,1535,0.76,
226,Sherghati,5,Pankaj Kumar Mishra,Samajwadi Lok Parishad,695,0,695,0.34,
226,Sherghati,6,Pawan Kishore,Jan Suraaj Party,18859,123,18982,9.37,
226,Sherghati,7,Shane Ali Khan,All India Majlis-E-Ittehadul Muslimeen,14722,32,14754,7.28,
226,Sherghati,8,Santosh Thakur,Swaraj Party (Loktantrik),771,3,774,0.38,
226,Sherghati,9,Chandradev Kumar Yadav,Independent,671,1,672,0.33,
226,Sherghati,10,Mukesh Kumar Yadav,Independent,2695,12,2707,1.34,
226,Sherghati,11,Rajiv Kumar,Independent,938,2,940,0.46,
226,Sherghati,12,Shavina Pravin,Independent,1309,0,1309,0.65,
226,Sherghati,13,Sarju Das Jee Maharaj,Independent,1258,1,1259,0.62,
226,Sherghati,14,Surendra Kumar Suman,Independent,8253,31,8284,4.09,
226,Sherghati,15,Nota,None of the Above,6967,1,6968,3.44,
227,Imamganj,1,Ritu Priya Chaudhary,Rashtriya Janata Dal,78758,247,79005,38.3,MGB
227,Imamganj,2,Dr. Ajeet Kumar,Jan Suraaj Party,11834,78,11912,5.77,
227,Imamganj,3,Deepa Kumari,Hindustani Awam Morcha (Secular),104650,211,104861,50.83,NDA
227,Imamganj,4,Banarsi Das,Peoples Party of India (Democratic),2048,1,2049,0.99,
227,Imamganj,5,Vigan Paswan,New India United Party,1123,2,1125,0.55,
227,Imamganj,6,Tengar Paswan,Independent,2312,1,2313,1.12,
227,Imamganj,7,Rambali Rishiashan,Independent,1419,1,1420,0.69,
227,Imamganj,8,Nota,None of the Above,3596,0,3596,1.74,
228,Barachatti,1,Tanushree Kumari,Rashtriya Janata Dal,99047,331,99378,43.54,MGB
228,Barachatti,2,G S Ramchandra Das,Bahujan Samaj Party,3138,12,3150,1.38,
228,Barachatti,3,Shivnath Kumar Nirala,Rashtriya Lok Janshakti Party,1184,8,1192,0.52,GDA
228,Barachatti,4,Arjun Bhuiyan,Vikas Vanchit Insan Party,865,1,866,0.38,
228,Barachatti,5,Indradev Paswan,Rashtriya Jansambhavna Party,1495,1,1496,0.66,
228,Barachatti,6,Jyoti Devi,Hindustani Awam Morcha (Secular),108059,212,108271,47.44,NDA
228,Barachatti,7,Manoj Paswan,Peoples Party of India (Democratic),2658,3,2661,1.17,
228,Barachatti,8,Sanjay Mandal,Socialist Party (India),718,2,720,0.32,
228,Barachatti,9,Hemant Kumar,Jan Suraaj Party,3944,23,3967,1.74,
228,Barachatti,10,Rahul Kumar,Independent,859,0,859,0.38,
228,Barachatti,11,Vinay Paswan,Independent,1346,0,1346,0.59,
228,Barachatti,12,Nota,None of the Above,4322,7,4329,1.9,
229,Bodh Gaya,1,Kumar Sarvjeet,Rashtriya Janata Dal,99717,519,100236,43.38,MGB
229,Bodh Gaya,2,Shyamdeo Paswan,Lok Janshakti Party (Ram Vilas),99089,266,99355,43,NDA
229,Bodh Gaya,3,Ashok Kumar Paswan,Vikas Vanchit Insan Party,3674,1,3675,1.59,
229,Bodh Gaya,4,Uday Das,Peoples Party of India (Democratic),1536,7,1543,0.67,
229,Bodh Gaya,5,Lakshman Manjhi,Jan Suraaj Party,3983,41,4024,1.74,
229,Bodh Gaya,6,Virendra Rajvanshi Alias Bigendra Kumar,Suheldev Bharatiya Samaj Party,1002,3,1005,0.43,
229,Bodh Gaya,7,Sugiya Devi,Moolniwasi Samaj Party,653,0,653,0.28,
229,Bodh Gaya,8,Kumar Pardeep,Independent,1110,4,1114,0.48,
229,Bodh Gaya,9,Nandlal Kumar,Independent,10147,34,10181,4.41,
229,Bodh Gaya,10,Ramswrup Rishiyasan,Independent,3327,0,3327,1.44,
229,Bodh Gaya,11,Nota,None of the Above,5956,4,5960,2.58,
230,Gaya Town,1,Akhaury Onkar Nath,Indian National Congress,64143,312,64455,38.61,MGB
230,Gaya Town,2,Anil Kumar,Aam Aadmi Party,568,2,570,0.34,
230,Gaya Town,3,Prem Kumar,Bharatiya Janata Party,90529,349,90878,54.43,NDA
230,Gaya Town,4,Rafatali Khan,Bahujan Samaj Party,722,2,724,0.43,
230,Gaya Town,5,Amrendra Kumar,Rashtriya Sanatan Party,187,0,187,0.11,
230,Gaya Town,6,Dhirendra Agarwal,Jan Suraaj Party,4413,66,4479,2.68,
230,Gaya Town,7,Purushottam Kumar Sinha,Samaj Satta Dal,101,1,102,0.06,
230,Gaya Town,8,Md. Mansur Ansari,Peace Party,135,1,136,0.08,
230,Gaya Town,9,Munna Kumar,Samajwadi Lok Parishad,98,0,98,0.06,
230,Gaya Town,10,Mohan Kumar,Gantantrik Samaj Party,335,1,336,0.2,
230,Gaya Town,11,Raj Kishor Singh,Peoples Party of India (Democratic),272,2,274,0.16,
230,Gaya Town,12,Kashi Prasad,Independent,240,2,242,0.14,
230,Gaya Town,13,Naresh Parsad,Independent,242,1,243,0.15,
230,Gaya Town,14,Prem Kumar S/O-Ayodhya Saw,Independent,738,1,739,0.44,
230,Gaya Town,15,Prem Kumar S/O-Vishnahari Upadhyay,Independent,284,1,285,0.17,
230,Gaya Town,16,Mukesh Kumar Sinha,Independent,1115,0,1115,0.67,
230,Gaya Town,17,Ravi Ranjan,Independent,631,5,636,0.38,
230,Gaya Town,18,Shiwam Kumar Sinha,Independent,90,0,90,0.05,
230,Gaya Town,19,Shish Mani Kumar,Independent,347,0,347,0.21,
230,Gaya Town,20,Sanjeet Kumar,Independent,97,2,99,0.06,
230,Gaya Town,21,Md Samim,Independent,187,0,187,0.11,
230,Gaya Town,22,Hasab Akhtar,Independent,100,0,100,0.06,
230,Gaya Town,23,Nota,None of the Above,626,10,636,0.38,
231,Tikari,1,Ajay Kumar,Rashtriya Janata Dal,97017,533,97550,45.79,MGB
231,Tikari,2,Uday Paswan,Bahujan Samaj Party,2783,24,2807,1.32,
231,Tikari,3,Anil Kumar,Hindustani Awam Morcha (Secular),94957,535,95492,44.83,NDA
231,Tikari,4,Dharmendra Paswan,Samata Party,1136,6,1142,0.54,
231,Tikari,5,Ramjeet Singh,Rashtriya Jansambhavna Party,666,3,669,0.31,
231,Tikari,6,Shaktiman Stutya,Vocal India Party,281,0,281,0.13,
231,Tikari,7,Shashi Kumar,Jan Suraaj Party,2490,62,2552,1.2,
231,Tikari,8,Ashok Kumar,Independent,466,2,468,0.22,
231,Tikari,9,Kundan Kumar,Independent,467,4,471,0.22,
231,Tikari,10,Manoj Kumar Bharti,Independent,1420,5,1425,0.67,
231,Tikari,11,Munna Kumar,Independent,2166,4,2170,1.02,
231,Tikari,12,Subodh Kumar Singh,Independent,3704,26,3730,1.75,
231,Tikari,13,Nota,None of the Above,4264,4,4268,2,
232,Belaganj,1,Madhumala Kumari,Aam Aadmi Party,2202,2,2204,1.08,
232,Belaganj,2,Manorma Devi,Janata Dal (United),95218,467,95685,46.67,NDA
232,Belaganj,3,Vishvanath Kumar Singh,Rashtriya Janata Dal,92345,458,92803,45.27,MGB
232,Belaganj,4,Md. Abdullah,Bharatiya Sampuran Krantikari Party,962,5,967,0.47,
232,Belaganj,5,Richa Jha,Samajwadi Lok Parishad,621,3,624,0.3,
232,Belaganj,6,Krishna Prasad Singh,Peoples Party of India (Democratic),344,3,347,0.17,
232,Belaganj,7,Taravej Alam,The National Road Map Party of India,258,0,258,0.13,
232,Belaganj,8,Md. Shahabuddin,Jan Suraaj Party,1598,23,1621,0.79,
232,Belaganj,9,Md. Istiyaque Ahmad,Independent,835,2,837,0.41,
232,Belaganj,10,Rahul Ranjan,Independent,1267,1,1268,0.62,
232,Belaganj,11,Lalu Yadav,Independent,2767,2,2769,1.35,
232,Belaganj,12,Vibhuti Narayan Singh,Independent,2562,0,2562,1.25,
232,Belaganj,13,Nota,None of the Above,3065,9,3074,1.5,
233,Atri,1,Baijayanti Devi,Rashtriya Janata Dal,75973,352,76325,38.62,MGB
233,Atri,2,Md. Vakil Varish,Bahujan Samaj Party,2802,15,2817,1.43,
233,Atri,3,Avinash Kumar Sonu,Janshakti Janta Dal,1013,13,1026,0.52,
233,Atri,4,Akash Kumar,Jagrook Janta Party,1134,3,1137,0.58,
233,Atri,5,Romit Kumar,Hindustani Awam Morcha (Secular),101838,264,102102,51.66,NDA
233,Atri,6,Shailendra Kumar,Jan Suraaj Party,3136,41,3177,1.61,
233,Atri,7,Sahil Kumar,Peoples Party of India (Democratic),1118,2,1120,0.57,
233,Atri,8,Anju Devi,Independent,810,4,814,0.41,
233,Atri,9,Chandan,Independent,2110,2,2112,1.07,
233,Atri,10,Vidyabhushan Kumar,Independent,1337,6,1343,0.68,
233,Atri,11,Sudhir Kumar,Independent,932,1,933,0.47,
233,Atri,12,Subhash Kumar Sinha,Independent,1223,0,1223,0.62,
233,Atri,13,Nota,None of the Above,3511,5,3516,1.78,
234,Wazirganj,1,Awadhesh Kumar Singh,Indian National Congress,81359,482,81841,38.93,MGB
234,Wazirganj,2,Chitranjan Kumar,Bahujan Samaj Party,14233,70,14303,6.8,
234,Wazirganj,3,Mohammad Julkar Nain,Rashtriya Lok Janshakti Party,990,4,994,0.47,GDA
234,Wazirganj,4,Birendra Singh,Bharatiya Janata Party,94184,390,94574,44.99,NDA
234,Wazirganj,5,Prem Kumar,Janshakti Janta Dal,1315,1,1316,0.63,
234,Wazirganj,6,Shambhu Sharan Sheromani,Jagrook Janta Party,664,2,666,0.32,
234,Wazirganj,7,Santosh Kumar,Jan Suraaj Party,4950,67,5017,2.39,
234,Wazirganj,8,Sunil Kumar,Peoples Party of India (Democratic),904,4,908,0.43,
234,Wazirganj,9,Suresh Rajvanshi,Moolniwasi Samaj Party,1979,1,1980,0.94,
234,Wazirganj,10,Chandan Kumar,Independent,2251,0,2251,1.07,
234,Wazirganj,11,Pikan Manjhi,Independent,758,2,760,0.36,
234,Wazirganj,12,Sanjay Kumar,Independent,1142,0,1142,0.54,
234,Wazirganj,13,Nota,None of the Above,4452,8,4460,2.12,
235,Rajauli,1,Akhlesh Kumar,Bahujan Samaj Party,3824,8,3832,1.91,
235,Rajauli,2,Pinki Bharti,Rashtriya Janata Dal,85906,413,86319,43.01,MGB
235,Rajauli,3,Pratima Kumari,Rashtriya Lok Janshakti Party,2255,7,2262,1.13,GDA
235,Rajauli,4,Ranjit Kumar,Aam Aadmi Party,1201,5,1206,0.6,
235,Rajauli,5,Vimal Rajbanshi,Lok Janshakti Party (Ram Vilas),90097,175,90272,44.98,NDA
235,Rajauli,6,Chandan Kumar,Suheldev Bharatiya Samaj Party,2159,1,2160,1.08,
235,Rajauli,7,Naresh Chaudhari,Jan Suraaj Party,3296,25,3321,1.65,
235,Rajauli,8,Prakash Vir,Janshakti Janta Dal,2842,14,2856,1.42,
235,Rajauli,9,Gorelal Chaudhary,Independent,1011,2,1013,0.5,
235,Rajauli,10,Ramanand Chaudhary,Independent,1053,1,1054,0.53,
235,Rajauli,11,Vijay Kameshwar Paswan,Independent,2119,1,2120,1.06,
235,Rajauli,12,Nota,None of the Above,4284,2,4286,2.14,
236,Hisua,1,Anil Singh,Bharatiya Janata Party,95490,395,95885,44.4,NDA
236,Hisua,2,Dinanath Thakur,Rashtriya Lok Janshakti Party,1530,2,1532,0.71,GDA
236,Hisua,3,Nitu Kumari,Indian National Congress,67689,347,68036,31.51,MGB
236,Hisua,4,Sunil Kumar,Bahujan Samaj Party,1499,4,1503,0.7,
236,Hisua,5,Anil Kumar,Indian National Socialistic Action Forces,1298,1,1299,0.6,
236,Hisua,6,Daya Nand Prasad,Vikas Vanchit Insan Party,604,1,605,0.28,
236,Hisua,7,Pawan Kumar,Peoples Party of India (Democratic),569,3,572,0.26,
236,Hisua,8,Ramanandan Rajavanshi,Suheldev Bharatiya Samaj Party,595,1,596,0.28,
236,Hisua,9,Rambalak Sharma,Jagrook Janta Party,839,3,842,0.39,
236,Hisua,10,Sury Dev Prasad,Jan Suraaj Party,5012,51,5063,2.34,
236,Hisua,11,Ajad Geeta Prasad Sharma,Independent,1381,0,1381,0.64,
236,Hisua,12,Dharmendra Kumar,Independent,27821,50,27871,12.91,
236,Hisua,13,Sunil Kumar Nirala,Independent,3869,1,3870,1.79,
236,Hisua,14,Sonali Kumari,Independent,1945,4,1949,0.9,
236,Hisua,15,Nota,None of the Above,4938,3,4941,2.29,
237,Nawada,1,Ashok Kumar,Bahujan Samaj Party,2282,3,2285,1.13,
237,Nawada,2,Kaushal Yadav,Rashtriya Janata Dal,59482,347,59829,29.69,MGB
237,Nawada,3,Vibha Devi,Janata Dal (United),86985,438,87423,43.39,NDA
237,Nawada,4,Anita Kumari,Bhartiya Lok Chetna Party,3087,24,3111,1.54,
237,Nawada,5,Anuj Singh,Jan Suraaj Party,19185,164,19349,9.6,
237,Nawada,6,Nasima Khatoon,All India Majlis-E-Ittehadul Muslimeen,12778,57,12835,6.37,
